Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
CN_16_RG_2059_BL_ADL_M__SRR17643111__R1__afd1352d1f92ff67c54ef554e1157ff7_val_1	528.0	957.0	558.0	0.3	0.3	0.3	718675.0	192570.0	336314.0	187748.0
CN_16_RG_2059_BL_ADL_M__SRR17643112__R1__c77da0ecdef2a14add742e2a2dd03a39_val_1	113.0	157.0	126.0	0.3	0.2	0.3	137206.0	36846.0	63758.0	36206.0
CN_16_RG_2063_BL_ADL_F__SRR17643108__R1__a536a1f093a7860d881e2b323ea5b135_val_1	479.0	819.0	471.0	0.3	0.3	0.3	622823.0	168074.0	290685.0	162295.0
CN_16_RG_2063_BL_ADL_F__SRR17643109__R1__17c45d609f814a7eb1b2a053ee8397ff_val_1	91.0	152.0	92.0	0.3	0.3	0.3	112119.0	30120.0	52218.0	29446.0
CN_16_RG_2066_BL_ADL_M__SRR17643107__R1__eb787feee7a53f56ad5cfc5ec2bfd413_val_1	859.0	1438.0	801.0	0.3	0.3	0.3	1002320.0	268436.0	470823.0	259963.0
CN_16_RG_2068_BL_ADL_F__SRR17643105__R1__d203dba49667f97977b64705812d4f42_val_1	1529.0	2580.0	1466.0	0.3	0.3	0.3	1728840.0	461929.0	812426.0	448910.0
CN_16_RG_2068_BL_ADL_F__SRR17643106__R1__73449abaa1ad16a82e2aba4caac1eafc_val_1	216.0	354.0	199.0	0.3	0.3	0.3	260057.0	69320.0	122307.0	67661.0
CN_16_RG_2069_BL_ADL_M__SRR17643104__R1__0f4bf439679adeab09b193197e7c8310_val_1	815.0	1353.0	749.0	0.3	0.3	0.3	956065.0	257181.0	446432.0	249535.0
CN_16_RG_2070_BL_ADL_F__SRR17643102__R1__55b872714a635817e964db30c2e8c21c_val_1	838.0	1401.0	760.0	0.3	0.3	0.3	998544.0	267228.0	470302.0	258015.0
CN_16_RG_2070_BL_ADL_F__SRR17643103__R1__38d2c886c50c07566937d334428ec61f_val_1	128.0	248.0	181.0	0.3	0.3	0.4	181038.0	48690.0	84304.0	47487.0
CN_16_RG_2072_BL_ADL_M__SRR17643100__R1__22e9f3bacfc0f453658f23f0b2c2d824_val_1	1667.0	2665.0	1581.0	0.3	0.3	0.3	2016145.0	542219.0	940495.0	527518.0
CN_16_RG_2072_BL_ADL_M__SRR17643101__R1__131ecfc11dae172e30354139d73fc55e_val_1	252.0	406.0	237.0	0.3	0.3	0.3	297270.0	80062.0	138766.0	77547.0
CN_16_RG_2074_BL_ADL_M__SRR17643097__R1__56db441924427b03e45a3f4f3ecc322e_val_1	99.0	154.0	97.0	0.3	0.3	0.3	125822.0	33602.0	58623.0	33247.0
CN_16_RG_2074_BL_ADL_M__SRR17643163__R1__c7d82dcdc159b4bf3d3db18ca58dd41d_val_1	491.0	865.0	479.0	0.3	0.3	0.3	651016.0	175876.0	303578.0	169727.0
CN_17_RG_1705_BL_ADL_M__SRR17643019__R1__7c8a9557482918777b20c944a452286d_val_1	413.0	685.0	447.0	0.3	0.3	0.3	572683.0	153916.0	267352.0	149870.0
CN_17_RG_1705_BL_ADL_M__SRR17643020__R1__c4c3220798e15344d6fe5cad0bb0b29e_val_1	74.0	120.0	69.0	0.3	0.3	0.3	96047.0	26072.0	44754.0	24958.0
CN_17_RG_2077_BL_ADL_M__SRR17643161__R1__ac44305fd431da10568b18f10f42411a_val_1	752.0	1313.0	766.0	0.3	0.3	0.3	980803.0	264714.0	456578.0	256680.0
CN_17_RG_2077_BL_ADL_M__SRR17643162__R1__ec4b689cbe3964172767da5940443c34_val_1	117.0	200.0	82.0	0.3	0.3	0.2	145950.0	39714.0	67338.0	38499.0
CN_17_RG_2079_BL_ADL_F__SRR17643160__R1__8709fd6d07af18d59c4849d38f090ec9_val_1	234.0	401.0	229.0	0.2	0.2	0.2	374535.0	101810.0	172967.0	98894.0
CN_17_RG_2081_BL_ADL_F__SRR17643158__R1__be1f50da4fe841267816476a49666641_val_1	45.0	74.0	52.0	0.2	0.2	0.3	74523.0	19627.0	35606.0	19119.0
CN_17_RG_2081_BL_ADL_F__SRR17643159__R1__8cdbffccf62924da751171aa968299c0_val_1	382.0	721.0	408.0	0.2	0.3	0.3	579060.0	154854.0	273574.0	149121.0
CN_17_RG_2082_BL_ADL_F__SRR17643157__R1__32cec8f00e76b1931b6c2b15dd533ba9_val_1	797.0	1213.0	782.0	0.3	0.3	0.3	982594.0	264717.0	458117.0	256968.0
CN_17_RG_2086_BL_ADL_F__SRR17643154__R1__dfc65a86a855da304bcaec1056be33e8_val_1	565.0	926.0	546.0	0.3	0.3	0.3	760947.0	203356.0	357510.0	198044.0
CN_17_RG_2086_BL_ADL_F__SRR17643156__R1__fbbdba2e20a5e336f7be9473daced88a_val_1	107.0	148.0	84.0	0.3	0.3	0.3	123613.0	33233.0	57745.0	32296.0
CN_17_RG_2087_BL_ADL_M__SRR17643272__R1__6ccaa1e00e6095a9ba2f8eed78c0b38a_val_1	1190.0	1912.0	1182.0	0.3	0.3	0.3	1458214.0	392465.0	680314.0	381151.0
CN_17_RG_2091_BL_ADL_F__SRR17643270__R1__b9b08ea7246ad8003055c4c087036ce4_val_1	299.0	590.0	333.0	0.2	0.3	0.3	447017.0	119685.0	209544.0	116566.0
CN_17_RG_2091_BL_ADL_F__SRR17643271__R1__f3e2650773095cc4bfc151c931869ab4_val_1	80.0	130.0	91.0	0.3	0.3	0.4	90348.0	24591.0	41484.0	23972.0
CN_17_RG_2093_BL_ADL_M__SRR17643268__R1__8ad2e44478fa23bd99accd64c76810dc_val_1	474.0	818.0	494.0	0.3	0.3	0.3	627095.0	167924.0	293848.0	163537.0
CN_17_RG_2093_BL_ADL_M__SRR17643269__R1__37ba84630d1f4efd2b9d2560ed0665fb_val_1	85.0	114.0	89.0	0.3	0.2	0.3	106082.0	28444.0	49836.0	27514.0
CN_17_RG_2094_BL_ADL_F__SRR17643266__R1__a24d6f2bf320202084322be5f794b5ab_val_1	671.0	1172.0	675.0	0.3	0.3	0.3	853914.0	228320.0	400418.0	222658.0
CN_17_RG_2094_BL_ADL_F__SRR17643267__R1__fbef794847220ed54548ad391a8f172e_val_1	117.0	181.0	106.0	0.3	0.3	0.3	139365.0	37091.0	65145.0	36725.0
CN_17_RG_2099_BL_ADL_M__SRR17643264__R1__d07d7fbb0def2ff67772ea5277fae56c_val_1	183.0	311.0	202.0	0.3	0.3	0.3	241379.0	64794.0	113152.0	62737.0
CN_17_RG_2099_BL_ADL_M__SRR17643265__R1__2a8e6ac49b7aef13efedce9ddb76c033_val_1	1152.0	1954.0	1132.0	0.3	0.3	0.3	1555438.0	417007.0	730972.0	403221.0
CN_17_RG_2102_BL_ADL_F__SRR17643254__R1__b84c31d21811d7ddd65599285b329bb4_val_1	613.0	1025.0	674.0	0.3	0.3	0.3	808186.0	218810.0	374442.0	212622.0
CN_17_RG_2105_BL_ADL_F__SRR17643252__R1__8fb6ac9cbbff3219091f38c53fb10f3f_val_1	409.0	626.0	413.0	0.3	0.3	0.3	507077.0	135778.0	237780.0	132071.0
CN_17_RG_2105_BL_ADL_F__SRR17643253__R1__165e5010cdb731c05d2d214fe924f3a9_val_1	80.0	155.0	82.0	0.3	0.3	0.3	109800.0	29190.0	51903.0	28390.0
CN_17_RG_2107_BL_ADL_F__SRR17643249__R1__ffde05bfb0e4a29efeb937fbb18884e0_val_1	464.0	721.0	456.0	0.3	0.3	0.3	571016.0	153209.0	266619.0	149547.0
CN_17_RG_2107_BL_ADL_F__SRR17643250__R1__3227d3a1cc4b8b747e2dc77ef1125665_val_1	93.0	142.0	95.0	0.3	0.3	0.3	110121.0	29562.0	51534.0	28695.0
CN_17_RG_2111_BL_ADL_F__SRR17643248__R1__f0c3d70c2264678413504f47f83fea86_val_1	1593.0	2848.0	1624.0	0.3	0.3	0.3	1976450.0	530345.0	923651.0	516389.0
CN_17_RG_2113_BL_ADL_M__SRR17643155__R1__3efbeac594866d18d29ae820c9513dca_val_1	1018.0	1796.0	1055.0	0.3	0.3	0.3	1286037.0	345939.0	599825.0	336404.0
CN_17_RG_2114_BL_ADL_M__SRR17643152__R1__e77b72e76daacc69d0226cfb8e31d7d7_val_1	878.0	1438.0	828.0	0.3	0.3	0.3	1081511.0	289592.0	507199.0	281576.0
CN_17_RG_2114_BL_ADL_M__SRR17643153__R1__31f3ed127c6e58ce6e1d8cfdf7efeba4_val_1	141.0	280.0	140.0	0.3	0.3	0.3	183429.0	49068.0	86193.0	47607.0
CN_17_RG_2115_BL_ADL_F__SRR17643150__R1__42fb3431054458d6d156a285802e077c_val_1	242.0	368.0	235.0	0.3	0.3	0.3	315290.0	85529.0	145339.0	83577.0
CN_17_RG_2115_BL_ADL_F__SRR17643151__R1__517fb4f51c035b9bc0e0beb14c964ddc_val_1	43.0	95.0	64.0	0.2	0.3	0.3	79502.0	21673.0	36293.0	21334.0
CN_17_RG_2116_BL_ADL_M__SRR17643149__R1__4e04f7ea01f8f2db298d513bf750e67e_val_1	635.0	1004.0	557.0	0.3	0.3	0.3	771155.0	207418.0	359977.0	201564.0
CN_17_RG_2121_BL_ADL_F__SRR17643148__R1__6da42680924b3e24f144eeb6436f1847_val_1	478.0	727.0	455.0	0.3	0.2	0.3	628839.0	169096.0	293499.0	164584.0
CN_17_RG_2122_BL_ADL_F__SRR17643145__R1__4a8db3d47317d17d9b0c2d80853cb47a_val_1	880.0	1648.0	962.0	0.3	0.3	0.3	1215877.0	326535.0	569425.0	316427.0
CN_17_RG_2122_BL_ADL_F__SRR17643146__R1__d086543f481b14e37a21c18d268043d1_val_1	173.0	261.0	150.0	0.3	0.3	0.3	203427.0	54797.0	94966.0	53080.0
CN_17_RG_2123_BL_ADL_M__SRR17643144__R1__9ddcfc422bce5ca5643ee433b134a58b_val_1	720.0	1129.0	773.0	0.3	0.3	0.3	867600.0	234785.0	400650.0	229543.0
DE_06_R_U085067_BL_ADL_F__SRR17643235__R1__05710342cf7e8b7d57e35046a899c7c4_val_1	831.0	1207.0	823.0	0.3	0.3	0.3	1002435.0	284601.0	434779.0	280194.0
DE_06_R_U149791_BL_ADL_M__SRR17643234__R1__44c08baad7f4ad8d3cb6b7e6a01c8e05_val_1	544.0	873.0	544.0	0.3	0.3	0.3	659625.0	188409.0	283908.0	185347.0
DE_06_R_U168348_BL_CHK_U__SRR17643231__R1__2f999eab6cd68b59d28d513c5aead658_val_1	349.0	561.0	319.0	0.3	0.3	0.3	474935.0	128637.0	219941.0	125128.0
DE_07_R_U149791_BL_ADL_M__SRR17643233__R1__940be4085e6b0d9c7f984db0a5dd2bb8_val_1	902.0	1490.0	897.0	0.3	0.3	0.3	1237196.0	332467.0	577827.0	323613.0
DE_07_R_U150702_BL_ADL_M__SRR17643232__R1__6dd25ba4ebba2668ad4f279698d46c9d_val_1	1110.0	1632.0	1071.0	0.3	0.3	0.3	1286641.0	364497.0	559734.0	358597.0
DE_07_R_U170608_BL_YRL_M__SRR17643230__R1__0c0141d8d5e918972aa448cee61b4ef9_val_1	1372.0	2440.0	1348.0	0.3	0.3	0.3	1848044.0	498446.0	860512.0	483926.0
DE_07_R_ZD007779_BL_CHK_F__SRR17643027__R1__f11b8c27f0d28aa161cc9c80d764b434_val_1	291.0	493.0	230.0	0.3	0.3	0.2	393554.0	106240.0	182877.0	103423.0
DE_08_R_90037526_BL_CHK_U__SRR17643132__R1__55975549d33d42d135a1a18acee3dfcc_val_1	428.0	729.0	463.0	0.3	0.3	0.3	564908.0	152407.0	263198.0	147683.0
DE_08_R_90039469_BL_CHK_U__SRR17643131__R1__37c1019ab29bc6cad3d8f25bb8dbbefe_val_1	556.0	949.0	504.0	0.3	0.3	0.3	707533.0	189892.0	331410.0	184222.0
DE_08_R_U170608_BL_ADL_M__SRR17643229__R1__6bf267b2c367aeafeec6ce33515606cf_val_1	539.0	821.0	508.0	0.3	0.3	0.3	629245.0	179798.0	270298.0	177281.0
DE_08_R_U184095_BL_ADL_F__SRR17643228__R1__936930d54f4e0563f5763e60bf2d15fb_val_1	2391.0	4011.0	2431.0	0.3	0.3	0.3	2903248.0	779972.0	1355701.0	758742.0
DE_08_R_U240585_BL_YRL_F__SRR17643226__R1__d6a707af3ffcb31969287144922d8ca4_val_1	827.0	1586.0	838.0	0.3	0.3	0.3	1100506.0	295394.0	516658.0	285203.0
DE_08_R_U240585_BL_YRL_F__SRR17643227__R1__439b8a36e4067f0457eb4f5814facd68_val_1	188.0	307.0	160.0	0.3	0.3	0.3	239351.0	63934.0	112239.0	62523.0
DE_08_R_ZD007739_BL_YRL_M__SRR17643029__R1__87b4f5db97265fddc209f33b5597b539_val_1	20456.0	34508.0	20170.0	0.3	0.3	0.3	22241984.0	5968328.0	10403046.0	5795476.0
DE_08_R_ZD007739_BL_YRL_M__SRR17777314__R1__ec0829e7eb76f8e01109ee90df9933ce_val_1	15491.0	26473.0	15522.0	0.3	0.3	0.3	16990740.0	4559946.0	7933312.0	4439996.0
DE_08_R_ZD007739_BL_YRL_M__SRR17777315__R1__4aeb8415b8ed765e1def6b9960b4e31d_val_1	2816.0	4606.0	2644.0	0.3	0.3	0.3	3051714.0	818057.0	1428605.0	794986.0
DE_08_R_ZD007739_BL_YRL_M__SRR17777316__R1__d8e26079d2384d1f0432756348475162_val_1	2557.0	4236.0	2523.0	0.3	0.3	0.3	2782300.0	746723.0	1301566.0	724695.0
DE_08_R_ZD007779_BL_YRL_F__SRR17643026__R1__dd023d2c4bb33c293e2039b21aee8d36_val_1	360.0	679.0	395.0	0.2	0.3	0.3	545687.0	146818.0	254389.0	143046.0
DE_09_R_U240585_BL_ADL_F__SRR17643224__R1__56b3f7ff1354199502017413cf7ec4e6_val_1	425.0	709.0	403.0	0.3	0.3	0.3	541036.0	146244.0	251357.0	141898.0
DE_09_R_U241924_BL_ADL_F__SRR17643223__R1__34a7531b2ff36347512da4b5647f69db_val_1	513.0	872.0	563.0	0.3	0.3	0.3	624988.0	179289.0	267392.0	176359.0
DE_09_R_ZD007739_BL_ADL_M__SRR17643028__R1__d7286b2ea07222521de2e5264ad61c42_val_1	585.0	990.0	555.0	0.3	0.3	0.3	661450.0	178986.0	305412.0	174922.0
DE_19_R_19DE043_BL_ADL_M__SRR17643067__R1__1b37b6550c557cceaa9b9198f7ec7d3c_val_1	479.0	722.0	481.0	0.3	0.3	0.3	652218.0	186752.0	279821.0	183963.0
DE_19_R_19DE044_BL_ADL_F__SRR17643066__R1__ad79a43c687e15ed02a5637394240fa3_val_1	832.0	1353.0	849.0	0.3	0.3	0.3	972705.0	274583.0	424944.0	270144.0
DE_19_R_19DE054_BL_ADL_M__SRR17643065__R1__7c1f8d71e72bc6616de60697819d555d_val_1	354.0	609.0	343.0	0.3	0.3	0.3	512631.0	138718.0	237799.0	134808.0
DE_19_R_19DE057_BL_ADL_F__SRR17643064__R1__8d55184eac4dd1eb376af8106b199884_val_1	514.0	852.0	516.0	0.3	0.3	0.3	695374.0	188781.0	321177.0	183534.0
DE_19_R_19DE108_BL_ADL_M__SRR17643063__R1__e79f88f8d42ea42721e1b8eb873df071_val_1	434.0	678.0	459.0	0.3	0.3	0.3	596040.0	170014.0	257466.0	166989.0
DE_19_R_19DE110_BL_ADL_F__SRR17643062__R1__c4eb351aa1b150227f670c33a744575b_val_1	402.0	605.0	422.0	0.2	0.3	0.3	561861.0	161690.0	240359.0	158383.0
DE_20_R_20DE008_BL_ADL_F__SRR17643259__R1__07cc622bdc794b70f452c5fbee9a1c16_val_1	441.0	730.0	441.0	0.2	0.3	0.2	634263.0	180473.0	273786.0	178392.0
DE_20_R_20DE071_BL_ADL_M__SRR17643258__R1__0bd8241392428447f4cdfb842353ce5c_val_1	662.0	924.0	702.0	0.3	0.2	0.3	871551.0	247138.0	378272.0	243853.0
DE_20_R_20DE078_BL_ADL_M__SRR17643257__R1__a0d88e9fdcf96063dbc4096f783f8918_val_1	360.0	565.0	419.0	0.2	0.2	0.3	551615.0	158263.0	235610.0	156398.0
DE_20_R_20DE139_BL_ADL_F__SRR17643256__R1__9ee71c866a868115e51f179a63560eef_val_1	234.0	427.0	238.0	0.3	0.3	0.3	344841.0	93081.0	160384.0	90477.0
DE_20_R_20DE145_BL_ADL_M__SRR17643255__R1__b1bad1738e1f532f23075c9066ee956d_val_1	582.0	878.0	575.0	0.3	0.3	0.3	800336.0	226926.0	346874.0	224501.0
EG_15_S_1602_BL_ADL_U__SRR17643236__R1__67b97a71436ca90c29a81b529e19df8c_val_1	451.0	686.0	455.0	0.3	0.3	0.3	500133.0	133760.0	234497.0	130284.0
EG_15_S_1602_BL_ADL_U__SRR17643247__R1__5e06e72bfec4e1523a130d0abdeee8be_val_1	90.0	159.0	93.0	0.3	0.3	0.3	127930.0	34435.0	59762.0	33391.0
