df_name cpgi.pst cpgi_promoter.pst cpgi_intergenic.pst cpgi_intron.pst cpgi_exon.pst cpgi_TTS.pst opensea.pst opensea_promoter.pst opensea_intron.pst opensea_intergenic.pst opensea_exon.pst opensea_TTS.pst shore.pst shore_promoter.pst shore_intron.pst shore_intergenic.pst shore_exon.pst shore_TTS.pst
gutturalis.vs.tytleri.vs.fst.joined.gutturalis.vs.tytleri.pst 0.0482259842534278 0.00250682378004888 0.0375676021827135 0.0689105862029759 0.0383966150436082 -0.00624184461186171 0.0573595150206654 0.314321749485108 0.061161348313108 0.0503200067115951 0.0435048350270294 -0.0346692307162623 0.0595626583055299 0.0805981896992136 0.063082935070996 0.0650124033681779 0.0342110751903032 -0.0346692307162623
gutturalis.vs.rustica.eu.vs.fst.joined.gutturalis.vs.rustica.eu.pst 0.0369350485514492 0.0242357598019075 0.0485131747817871 0.0355535736296703 0.00289254556348833 -0.00812343209655056 0.0586822301819997 0.031110127713742 0.0527677692720666 0.0717977577195331 0.0243400767324925 0.00999414102709082 0.0352381498808879 0.0409432292951837 0.0292143741557085 0.0447889791976194 0.0117808891793476 0.00999414102709082
erythrogaster.vs.rustica.eu.vs.fst.joined.erythrogaster.vs.rustica.eu.pst 0.0371443318418458 0.00137329776097682 0.0537207850174941 0.0211305012153519 0.0155289517484831 -0.000638522774199776 0.0433702125645619 0.0465324425355481 0.0747772076247463 0.0363724048044466 0.0054335477990258 -0.0082109907983349 0.0465596373896027 0.0645843189655206 0.0766431384978616 0.0263160827904594 0.0200532698056375 -0.0082109907983349
rustica.eu.vs.savignii.vs.fst.joined.rustica.eu.vs.savignii.pst 0.0390175452605665 -0.00194525262043424 0.0904428285479665 0.0308142292503892 0.00342040860490994 -0.0297569744915224 0.0464942121408069 -0.132005024583107 0.094877282575216 0.0329592629843347 0.0308813317424269 -0.0302178719514198 0.0258578472842667 0.0190507759156769 0.0501556302471426 0.0234262650254237 0.00410581706500848 -0.0302178719514198
rustica.eu.vs.transitiva.vs.fst.joined.rustica.eu.vs.transitiva.pst 0.030088287552 0.147999267815429 0.0147497367052041 -0.0151475162556874 0.0382033922722441 -0.00154850708089201 0.0102406951684354 -0.0036023947556668 0.00641433361411604 0.0301085794204935 -0.0233449197800965 0.0752646405899612 0.0269219104828085 0.0119073843639631 0.0362324676118507 0.0125417756929366 0.0474851572910509 0.0752646405899612
rustica.eu.vs.rustica.r.vs.fst.joined.rustica.eu.vs.rustica.r.pst 0.0132990889487382 0.0165892065222621 0.00386417023930738 0.0229875586654062 0.033481797422567 0.00038627960987763 0.0361217049985133 0.217024705869791 0.0676775847161909 0.0365026885082161 -0.0240765978683193 0.00555933592961529 0.0269027055300296 -0.0463905720486985 0.0230722059875706 0.0529454462617836 0.0137701040347826 0.00555933592961529
erythrogaster.vs.gutturalis.vs.fst.joined.erythrogaster.vs.gutturalis.pst 0.0180001836033948 0.0162597211864112 0.0362651031548109 0.0198921147474072 0.0174085655182238 -0.084421303899007 0.045069475230102 0.187859397171401 0.0455534234281705 0.0633121340800597 -0.00876688830911466 0.00115576406330395 0.0105618595947186 0.032542116775547 0.0104703681048687 0.037615385393174 -0.0291765796715859 0.00115576406330395
gutturalis.vs.savignii.vs.fst.joined.gutturalis.vs.savignii.pst 0.0374020043371342 0.0294865273704864 0.0356315520607107 0.0554412847194128 0.0257664110705921 0.0066066184909548 0.0508806224148677 0.0024062100847315 0.0409829850979135 0.0521874040273176 0.0401323865810383 0.0219274722148076 0.031022866835014 0.0634478457350644 0.0205488788001561 0.0471270903877226 -0.0208398664570423 0.0219274722148076
gutturalis.vs.transitiva.vs.fst.joined.gutturalis.vs.transitiva.pst 0.0417401055940229 0.105774419667654 0.0296631707855142 0.0197395753979422 0.0385994733227756 0.0326224129946621 0.0396841028610512 0.15715179434609 0.0542871896321524 0.0299803624203377 0.00800564895283144 -0.00484454885125141 0.0109796872666695 0.0433393106877857 0.00509924596717671 0.0121141188480169 0.0112480180782748 -0.00484454885125141
gutturalis.vs.rustica.r.vs.fst.joined.gutturalis.vs.rustica.r.pst 0.0570132782418816 0.0631352181671353 0.0457722077547471 0.055894841536522 0.0487284767319395 0.0269274035795029 0.0510108474644045 0.1336435641078 0.0521457513167259 0.0461427612031331 0.0309484831635623 0.0310592998088161 0.0426398674802167 0.0612155443651868 0.0327238652200667 0.0511844769497925 -0.0043272670615834 0.0310592998088161
rustica.eu.vs.tytleri.vs.fst.joined.rustica.eu.vs.tytleri.pst 0.0271149552849212 0.0191592510191141 0.0307594770038495 0.0250950519566534 0.0678716025339288 0.0448625757835137 0.0537659726321311 -0.0844419553743335 0.0527087728741857 0.073970342162317 0.0210231154847852 0.0754509398271759 0.0283531099342623 0.0500873921157559 0.0270289955890225 0.0243093917887902 0.0179847071503193 0.0754509398271759
