Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
DE_09_R_ZD007739_BL_ADL_M__SRR17643028__R1__d7286b2ea07222521de2e5264ad61c42_val_1	19726283.0	3224367.0	465.0	2394823.0	3420433.0	90864198.0	5024924.0	70.5125228172262	0.6	0.5	34.8	0.0	0.0	directional	9877939.0	9847879.0	1394009774.0	27975574.0	389718015.0	737034295.0	170578010.0
DE_19_R_19DE043_BL_ADL_M__SRR17643067__R1__1b37b6550c557cceaa9b9198f7ec7d3c_val_1	19860684.0	3405013.0	426.0	2591818.0	3537051.0	100919566.0	5684534.0	68.60285156273883	0.7	0.5	38.1	0.0	0.0	directional	9957819.0	9902439.0	1386987815.0	28950231.0	389860932.0	726096511.0	163981937.0
DE_19_R_19DE044_BL_ADL_F__SRR17643066__R1__ad79a43c687e15ed02a5637394240fa3_val_1	19205212.0	3296890.0	460.0	2594346.0	3739805.0	95591881.0	5512135.0	68.55518499397289	0.7	0.5	38.1	0.0	0.0	directional	9616615.0	9588137.0	1369866194.0	28014237.0	379921454.0	732966061.0	155052647.0
DE_19_R_19DE054_BL_ADL_M__SRR17643065__R1__7c1f8d71e72bc6616de60697819d555d_val_1	20788950.0	3552603.0	493.0	2685822.0	3872137.0	102638315.0	6439416.0	67.53832213664228	0.6	0.5	38.0	0.0	0.0	directional	10404192.0	10384265.0	1489850892.0	30780969.0	415023985.0	798363342.0	167267291.0
DE_19_R_19DE057_BL_ADL_F__SRR17643064__R1__8d55184eac4dd1eb376af8106b199884_val_1	17545921.0	3015538.0	370.0	2267781.0	3263466.0	91099751.0	5226342.0	68.03961687155876	0.7	0.5	39.7	0.0	0.0	directional	8786808.0	8758743.0	1234921482.0	25787801.0	343896573.0	655748971.0	138644940.0
DE_19_R_19DE108_BL_ADL_M__SRR17643063__R1__e79f88f8d42ea42721e1b8eb873df071_val_1	17869455.0	3160218.0	381.0	2342998.0	3216660.0	90908484.0	5306753.0	67.850721278582	0.7	0.5	37.8	0.0	0.0	directional	8969059.0	8900015.0	1250175131.0	26336426.0	350148932.0	653798587.0	149759470.0
DE_19_R_19DE110_BL_ADL_F__SRR17643062__R1__c4eb351aa1b150227f670c33a744575b_val_1	18775722.0	3407440.0	489.0	2296057.0	3172136.0	95469494.0	5713774.0	67.30388598948645	0.6	0.5	37.9	0.0	0.0	directional	9434277.0	9340956.0	1290626610.0	27896936.0	362473206.0	671073894.0	156141823.0
DE_20_R_20DE008_BL_ADL_F__SRR17643259__R1__07cc622bdc794b70f452c5fbee9a1c16_val_1	18606819.0	3408913.0	408.0	2356578.0	3254388.0	92131872.0	5919974.0	66.60586634180643	0.6	0.5	36.9	0.0	0.0	directional	9321870.0	9284541.0	1295583183.0	27935706.0	363796037.0	676235958.0	157808350.0
DE_20_R_20DE071_BL_ADL_M__SRR17643258__R1__0bd8241392428447f4cdfb842353ce5c_val_1	19263694.0	3138658.0	357.0	2474991.0	3496050.0	92112266.0	5949714.0	67.94458647211106	0.6	0.5	36.4	0.0	0.0	directional	9649276.0	9614061.0	1364650690.0	28352066.0	382002543.0	723903083.0	160661757.0
DE_20_R_20DE078_BL_ADL_M__SRR17643257__R1__a0d88e9fdcf96063dbc4096f783f8918_val_1	17734872.0	3059128.0	350.0	2218569.0	3021569.0	87558245.0	5705352.0	66.92568180535132	0.6	0.5	36.3	0.0	0.0	directional	8870416.0	8864106.0	1231352784.0	26499352.0	347374130.0	637436400.0	153743871.0
DE_20_R_20DE139_BL_ADL_F__SRR17643256__R1__9ee71c866a868115e51f179a63560eef_val_1	15234062.0	2641424.0	369.0	1920268.0	2781183.0	75611908.0	4463368.0	68.1953604244873	0.6	0.5	38.1	0.0	0.0	directional	7654592.0	7579101.0	1078656353.0	22338854.0	298944185.0	576707028.0	122691781.0
DE_20_R_20DE145_BL_ADL_M__SRR17643255__R1__b1bad1738e1f532f23075c9066ee956d_val_1	19745733.0	3167080.0	362.0	2504833.0	3463911.0	93191306.0	6044305.0	68.18956568813236	0.6	0.5	35.2	0.0	0.0	directional	9892035.0	9853336.0	1396247854.0	28957118.0	391980189.0	733758870.0	171348745.0
EG_15_S_1602_BL_ADL_U__SRR17643247__R1__5e06e72bfec4e1523a130d0abdeee8be_val_1	2412801.0	476281.0	54.0	341970.0	487318.0	12001752.0	711368.0	67.01387326584177	0.7	0.6	37.3	0.0	0.0	directional	1210461.0	1202286.0	166980377.0	3600450.0	46224261.0	87744116.0	20180960.0
EG_15_S_1603_BL_ADL_U__SRR17643225__R1__a3b221ad7b1daf08e344f4206f171e3a_val_1	1912716.0	357331.0	65.0	251089.0	356116.0	9890621.0	557136.0	67.65448151039392	0.7	0.5	38.8	0.0	0.0	directional	960119.0	952532.0	133837046.0	2827183.0	37212910.0	70525674.0	15600636.0
EG_15_S_1605_BL_ADL_U__SRR17643203__R1__8f98d91dea712a0ee6823e5b1bf672e8_val_1	19157349.0	3405332.0	531.0	2485381.0	3687088.0	92158147.0	5587341.0	68.05447256844062	0.7	0.5	37.3	0.0	0.0	directional	9619717.0	9537101.0	1346217929.0	28150022.0	370278115.0	722532474.0	155076724.0
EG_15_S_1608_BL_ADL_U__SRR17643098__R1__68e7c8337a94a62a86470db26daf0f22_val_1	1974694.0	359827.0	52.0	271448.0	380990.0	9753458.0	612315.0	67.01065142410368	0.7	0.5	37.0	0.0	0.0	directional	992959.0	981683.0	134822102.0	2946836.0	37536975.0	70264260.0	16614971.0
EG_15_S_1609_BL_ADL_U__SRR17643186__R1__e0eaad7ce04b69c0e2d02d8a14d2392c_val_1	8744134.0	1643040.0	245.0	1163276.0	1657039.0	44397884.0	3168496.0	64.5053619629277	0.7	0.5	38.1	0.0	0.0	directional	4377257.0	4366632.0	609621688.0	13555670.0	169650720.0	320773173.0	71979596.0
EG_15_S_1610_BL_ADL_U__SRR17643175__R1__32bae611a8b9073819c32d28c36cb1f5_val_1	2314449.0	440173.0	65.0	307896.0	443097.0	11999047.0	701449.0	66.96763463482087	0.7	0.5	39.1	0.0	0.0	directional	1165273.0	1149111.0	160899097.0	3456071.0	44663401.0	84792953.0	18692703.0
