CH_19_R_19CH091_BL_ADL_M__SRR17643068__R2__0017c092e9c21fddc0ec98b846fb39dc	11.0	1051.0	2647.0	4179.5	6264.5	9130.0	13508.0	19316.5	23111.0	26358.5	34182.5	44673.5	56884.0	74467.5	99899.5	129501.5	164082.0	209154.5	262077.0	318321.5	388263.5	472142.0	550842.5	629964.0	711707.5	780274.5	842275.5	906204.0	961830.0	1016104.5	1059051.5	1076820.0	1094342.0	1101929.0	1098790.5	1088954.0	1058727.0	1007872.0	951765.0	902315.0	842520.5	770765.0	693290.5	625293.0	566256.5	504601.5	441295.0	381377.5	329251.0	282726.0	241238.0	207466.5	180225.0	153163.0	127857.0	105183.0	86114.5	70064.5	56217.5	45826.5	36685.0	29566.5	25310.0	22059.5	19002.5	16553.0	15383.0	14734.5	13295.0	11664.5	10389.5	9288.0	8953.5	7971.0	6719.5	6500.5	6348.0	5734.5	5098.5	4660.5	4301.0	3957.0	3702.0	3557.0	3463.5	3233.0	2911.0	2659.0	2392.5	2092.0	1842.5	1714.5	1583.0	1346.0	975.5	705.0	685.0	580.5	306.5	144.5	206.0
CH_20_R_20CH003_BL_ADL_M__SRR17643263__R1__8263d5d14b3f18e5c67a31f86d888009	17.0	21.0	364.0	1358.5	2664.5	4494.5	7291.5	10801.5	15034.5	20413.0	27379.5	36641.0	48777.0	63165.5	81204.5	105740.5	139450.5	180632.5	227188.0	283410.0	349406.5	423026.5	498192.5	576421.5	660972.0	736758.5	803835.5	872075.5	943373.0	1008957.5	1061563.5	1103450.0	1128379.0	1141367.5	1145754.0	1145580.0	1128786.5	1091469.5	1053570.5	1004651.5	943331.0	873735.5	802268.0	735112.0	661675.5	590679.5	530320.5	474969.5	424659.5	372509.5	316111.5	263351.5	221830.5	189110.5	159604.5	132385.5	105269.0	84163.0	69167.5	54657.0	41692.5	31801.5	24340.0	18520.5	13915.5	10713.5	8493.5	6936.5	6073.0	5430.5	4070.0	2387.0	1569.5	1289.0	1046.5	815.0	600.5	391.5	233.0	96.5	34.0	15.0	7.0	6.0	7.0	5.0	3.5	1.5	0.0	0.5	0.5	0.0	0.5	2.0	2.5	1.0	1.5	3.5	4.5	3.0	0.5
CH_20_R_20CH003_BL_ADL_M__SRR17643263__R2__038856189b583c2ce73c7a6a4566bd71	9.0	1038.0	2836.5	4523.0	6383.5	9043.5	13243.5	18883.5	23193.5	27109.0	35721.5	47312.0	61268.5	81130.5	107410.0	138199.5	174915.5	222472.0	280364.0	340665.5	412382.5	500879.0	583665.0	664937.5	752489.5	824087.0	887740.5	957959.0	1009191.0	1058611.0	1101045.5	1116752.0	1133649.0	1137121.0	1128265.5	1119512.0	1095528.0	1041446.0	979894.0	927072.0	864341.5	791895.5	713491.0	644755.5	585410.0	525464.5	464186.0	402588.0	348203.0	298683.5	254159.0	219146.0	190428.5	161019.0	133086.0	110001.0	90384.5	72802.5	58401.0	47284.5	37687.0	30514.5	25586.5	21869.5	19032.5	16685.5	15440.0	14559.5	13068.5	11581.0	10266.5	9240.5	8985.5	7842.0	6453.5	6040.0	5634.5	5135.5	4538.5	4130.5	3900.0	3649.5	3386.5	3184.0	3076.5	2928.5	2684.5	2405.0	2189.5	1970.0	1779.5	1688.0	1627.0	1436.0	1098.0	871.5	834.5	666.5	389.5	251.5	588.0
CH_20_R_20CH005_BL_ADL_M__SRR17643261__R1__d2a2e1de2d795b161b9cc2903f906a6f	14.0	18.5	333.0	1295.0	2635.5	4540.0	7383.5	11156.5	15678.0	21427.5	28651.0	37611.0	49039.0	63585.5	81836.0	106535.5	138555.5	177012.5	223324.0	278979.0	341270.5	412568.0	486824.5	562094.0	646489.0	719204.5	781868.0	851107.0	922866.0	987403.5	1041862.0	1085753.5	1111739.0	1125210.0	1132397.0	1138998.5	1127961.0	1093432.0	1056223.5	1005878.0	944196.5	872508.0	798098.5	734158.5	665983.0	597042.0	536932.0	483808.0	430668.0	374133.5	319256.5	267328.5	225283.5	193855.5	165439.5	137642.0	110434.5	88362.0	70924.5	55176.5	41364.0	31134.0	23950.0	18297.5	13709.0	10629.5	8490.0	6836.5	5860.5	5340.5	4542.5	3423.0	2550.5	2057.0	1580.5	1116.5	773.5	648.0	597.5	373.5	132.5	49.5	25.5	6.5	3.5	3.5	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.5	0.5	0.5	1.0	0.5	0.0	0.5	0.5
CH_20_R_20CH005_BL_ADL_M__SRR17643261__R2__4060bdb9a6ce08079a77a8d7ea038215	15.0	1017.0	2493.5	3805.5	5635.5	8462.0	13043.0	19300.0	23622.0	26710.5	32985.0	40724.0	51495.0	68705.5	94434.0	125908.5	159117.5	201248.0	256250.0	315564.0	390007.5	481995.0	560307.0	631294.0	716374.5	794689.0	862654.5	929051.5	979484.5	1032973.0	1081041.0	1109620.5	1136657.0	1143846.5	1139984.5	1132991.0	1105585.0	1051754.0	998538.5	952665.0	887107.5	808690.0	729294.5	661313.0	602027.0	540206.5	472799.5	408473.5	355200.5	308117.5	265236.0	228334.5	195391.5	163317.5	135518.0	112469.5	92160.5	74135.5	59609.0	48724.5	38890.5	30835.0	25663.5	21520.0	18090.0	15546.0	13956.5	12682.0	11233.0	10077.0	9241.0	8452.0	7810.5	6912.0	6215.5	5985.5	5805.5	5228.0	4613.5	4312.0	3962.0	3631.5	3392.5	3231.0	3151.5	3055.5	2815.0	2493.5	2177.5	1980.0	1915.0	1803.5	1674.5	1481.0	1191.5	1005.0	924.0	736.5	485.5	312.0	474.5
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R1__2f326fc8ddda2bf08fd65dd1c1c5f780	13.0	14.5	395.0	1610.0	3207.0	5323.5	8447.0	12449.0	17214.5	23125.5	31247.5	41380.5	54260.0	69764.5	88170.5	114539.0	152160.0	196446.0	245424.5	304156.5	372531.0	447195.0	522370.0	601833.0	688760.5	765897.0	833911.5	902818.0	973803.5	1040672.5	1098722.5	1147431.5	1175537.5	1190395.5	1194412.0	1188149.0	1171381.5	1141052.5	1103910.0	1049644.0	979671.5	903437.0	828150.5	763392.0	697510.0	626770.0	558511.5	496313.0	441991.0	387470.5	329898.5	275365.0	232518.5	198451.5	168126.5	139655.0	112143.5	91332.5	74239.5	57527.5	43808.5	33187.0	25095.0	18848.5	14170.0	10954.0	8809.0	7134.0	6151.5	5623.5	4492.0	2932.5	1954.0	1481.5	1189.5	936.5	609.0	345.5	187.5	69.5	35.5	16.0	10.5	9.5	5.5	4.0	2.0	1.0	1.5	0.5	1.0	2.0	2.0	3.0	2.0	1.0	4.0	7.0	5.5	1.5	0.5
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R2__dd6a0094d6d273df77c87e3fd5b66c67	12.0	1301.0	3267.5	5148.0	7536.0	10808.5	16038.0	23335.5	28443.5	32819.0	42397.0	53943.0	67454.5	88486.5	118222.5	151506.5	189763.5	238137.5	296562.0	358897.5	433558.0	524881.5	609752.5	692056.5	778050.5	852371.5	922292.0	991819.5	1046106.5	1103072.5	1146234.0	1160587.5	1179220.0	1185380.0	1175308.5	1156339.5	1121574.5	1071287.0	1018295.5	964553.0	897517.0	824831.5	752416.0	691137.0	627715.5	557276.0	489759.5	423151.5	362902.5	311682.5	266204.0	228076.5	196783.5	165024.5	136470.0	112859.5	92803.5	75836.5	61390.5	49897.0	39682.0	31680.5	26881.5	23150.0	19831.5	17402.0	16057.5	14826.5	13249.0	11969.5	10954.0	9965.0	9371.0	8360.5	7395.0	7004.5	6544.5	6106.5	5566.5	5084.5	4785.5	4542.5	4243.5	3940.5	3753.5	3546.0	3267.5	2914.0	2538.5	2187.5	2054.5	1997.5	1910.5	1678.5	1280.0	990.5	865.0	694.0	444.0	279.0	450.0
CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0	34.0	25.0	78.5	351.5	835.0	1483.5	2409.0	3738.0	5382.5	7718.0	10868.5	14783.5	19678.0	26153.0	35272.0	48019.0	65030.5	85992.0	112824.0	148181.5	191671.5	246240.0	306249.5	371329.5	444524.5	513186.0	581461.5	656709.5	731128.5	798724.5	862911.0	926081.0	973522.5	1006224.5	1033777.5	1049503.0	1054730.5	1049585.5	1031858.5	997582.5	951641.0	890098.5	823388.5	768379.0	707117.0	647668.0	597185.5	539688.0	479297.0	420616.0	360933.0	305098.5	258785.5	220483.5	185938.5	153045.5	122233.0	98086.0	79129.5	63261.5	48183.5	34926.0	26689.0	21081.0	17121.0	16326.5	15550.5	12317.5	9421.0	7193.0	4955.0	2977.0	1823.0	1423.5	1245.5	1094.5	1020.0	759.5	381.5	167.0	45.5	19.5	9.0	5.5	3.0	0.5	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
CN_14_G_1086_BL_ADL_M__SRR17643275__R2__38285d94f674880da3615b01cbe20504	3.0	491.5	1287.0	1978.5	2836.0	4151.0	6490.0	9853.0	12444.5	14529.5	18071.0	22629.0	28943.0	38807.0	54181.0	73993.5	96922.0	124365.5	159711.5	206007.5	264481.5	332212.0	396293.0	462856.0	538798.5	609126.5	675064.5	743662.0	803869.5	861509.5	911009.5	953927.5	1001002.0	1026331.0	1038980.0	1043419.5	1025211.0	994098.5	962042.5	927796.5	873388.5	802295.0	737620.5	687899.5	639733.0	575614.0	505528.0	444594.0	390288.5	340220.5	292882.5	251835.5	217096.5	183353.5	151737.0	123604.5	100343.0	81570.5	66131.0	54385.5	43746.5	37178.5	31318.0	23807.5	19679.5	17499.0	16017.5	14278.5	12484.5	10946.0	9858.0	9075.5	8698.5	7699.0	6745.0	6395.5	5942.0	5512.5	5014.5	4689.5	4551.5	4292.5	3969.5	3819.0	3742.0	3556.5	3307.5	3041.0	2675.0	2269.5	2037.5	1913.0	1744.0	1492.0	1111.5	841.0	728.0	546.5	307.0	152.5	262.0
CN_14_G_1089_BL_ADL_M__SRR17643192__R1__66e0a2b53593b2676a0ff327f947e920	2.0	3.0	21.0	102.5	231.0	407.0	658.5	962.0	1316.0	1757.5	2384.5	3087.0	3957.5	5120.0	6536.5	8397.0	10751.0	13495.0	17231.5	21672.5	26439.0	31942.5	38089.5	44505.5	50932.0	56914.5	62352.0	68472.5	74544.5	79835.0	84478.5	88324.5	90710.0	92725.5	94613.0	94085.0	92476.0	90291.0	87188.5	83232.0	78980.5	73040.5	66326.0	61142.5	55282.5	49712.0	45192.5	41017.5	37281.5	32755.5	27743.5	23280.0	19459.5	16699.5	14362.0	11977.5	9773.5	7931.5	6550.0	5298.0	4028.0	3008.0	2312.0	1783.0	1359.0	1078.0	949.5	847.0	706.5	570.0	437.0	284.0	180.5	159.5	158.0	149.0	119.0	107.0	110.0	69.5	23.5	8.0	5.5	4.0	2.0	0.5	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.5	1.0	0.5	0.0
