Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CN_14_G_1097_BL_ADL_F__SRR17643047__R2__9dbc08626ebd460fbdd16d1430aa512f	CN_14_G_1097_BL_ADL_F__SRR17643047__R2__9dbc08626ebd460fbdd16d1430aa512f.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3148632.0	0.0	150.0	37.0	40.02467196677711	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1097_BL_ADL_F__SRR17643058__R1__ff85361ffa15b071c572410bf31f54af	CN_14_G_1097_BL_ADL_F__SRR17643058__R1__ff85361ffa15b071c572410bf31f54af.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21967033.0	0.0	150.0	36.0	26.091841446374602	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1097_BL_ADL_F__SRR17643058__R2__ab6ddc058da97fc996731d8318539913	CN_14_G_1097_BL_ADL_F__SRR17643058__R2__ab6ddc058da97fc996731d8318539913.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21967033.0	0.0	150.0	37.0	22.53923512797944	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1098_BL_ADL_F__SRR17643121__R1__776922b8fc01c761304085379ed7ec90	CN_14_G_1098_BL_ADL_F__SRR17643121__R1__776922b8fc01c761304085379ed7ec90.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18684610.0	0.0	150.0	35.0	31.272465890686767	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1098_BL_ADL_F__SRR17643121__R2__1993133c7cd106a6db91febb4cfe2c45	CN_14_G_1098_BL_ADL_F__SRR17643121__R2__1993133c7cd106a6db91febb4cfe2c45.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18684610.0	0.0	150.0	38.0	24.321189023543653	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1099_BL_ADL_M__SRR17643110__R1__64d64834c6b1039749c9af3e019d0bcd	CN_14_G_1099_BL_ADL_M__SRR17643110__R1__64d64834c6b1039749c9af3e019d0bcd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25709041.0	0.0	150.0	37.0	26.701369479453795	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1099_BL_ADL_M__SRR17643110__R2__59a8011fd0577f988a5f8823b0fca85f	CN_14_G_1099_BL_ADL_M__SRR17643110__R2__59a8011fd0577f988a5f8823b0fca85f.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25709041.0	0.0	150.0	38.0	22.167674739522116	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1100_BL_ADL_F__SRR17643099__R1__38bf1e943751e7a4bbf0b2ef3b11e10d	CN_14_G_1100_BL_ADL_F__SRR17643099__R1__38bf1e943751e7a4bbf0b2ef3b11e10d.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21961617.0	0.0	150.0	37.0	30.498538895078152	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1100_BL_ADL_F__SRR17643099__R2__0519bdfe87c650333de56e802a6506b8	CN_14_G_1100_BL_ADL_F__SRR17643099__R2__0519bdfe87c650333de56e802a6506b8.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21961617.0	0.0	150.0	38.0	23.52068234427907	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1102_BL_ADL_M__SRR17643262__R1__eb961bbe3d232e5a38e72af2cd42e6e4	CN_14_G_1102_BL_ADL_M__SRR17643262__R1__eb961bbe3d232e5a38e72af2cd42e6e4.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3211284.0	0.0	150.0	35.0	46.5580949001391	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1102_BL_ADL_M__SRR17643262__R2__7f4071e5099bf10d098ac1c3891111a9	CN_14_G_1102_BL_ADL_M__SRR17643262__R2__7f4071e5099bf10d098ac1c3891111a9.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3211284.0	0.0	150.0	37.0	39.226641036851795	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1102_BL_ADL_M__SRR17643273__R1__7b1291d46dde16d802063b4777723797	CN_14_G_1102_BL_ADL_M__SRR17643273__R1__7b1291d46dde16d802063b4777723797.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18362278.0	0.0	150.0	36.0	27.09310174329813	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1102_BL_ADL_M__SRR17643273__R2__4ebccd00a4092d700de1b00a9fcef1c6	CN_14_G_1102_BL_ADL_M__SRR17643273__R2__4ebccd00a4092d700de1b00a9fcef1c6.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18362278.0	0.0	150.0	37.0	23.481831933002688	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1103_BL_ADL_M__SRR17643251__R1__b2ecf7e767354713a32a717416f20af3	CN_14_G_1103_BL_ADL_M__SRR17643251__R1__b2ecf7e767354713a32a717416f20af3.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24117031.0	0.0	150.0	37.0	27.336020263003668	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1103_BL_ADL_M__SRR17643251__R2__0de2f3a79d7e3392c28e9131b950d5f7	CN_14_G_1103_BL_ADL_M__SRR17643251__R2__0de2f3a79d7e3392c28e9131b950d5f7.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24117031.0	0.0	150.0	38.0	22.746546272141217	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
