Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CN_16_RG_2027_BL_ADL_M__SRR17643043__R1__c299cfe386524cbcfa621402e2dbd9a2_val_1	0.12329896536841396	0.1214398715457916
CN_16_RG_2027_BL_ADL_M__SRR17643043__R2__ca5e537a7b7d24d0a01bdbbb0270b9fd_val_2	0.18105159424779954	0.23137267665181938
CN_16_RG_2029_BL_ADL_F__SRR17643040__R1__5b04e8c79c2c718520335b70fa2071d5_val_1	0.0	0.0
CN_16_RG_2029_BL_ADL_F__SRR17643040__R2__e6575d1f85390791d9489a9bee3cf71e_val_2	0.10462971021495164	0.0
CN_16_RG_2029_BL_ADL_F__SRR17643125__R1__3373616e7cdb5c0fc20acb0f6cdc2648_val_1	0.0	0.0
CN_16_RG_2029_BL_ADL_F__SRR17643125__R2__e50d5353df919a00284488f054b182d4_val_2	0.10547330894333357	0.0
CN_16_RG_2030_BL_ADL_M__SRR17643123__R1__1d93cf920e9e243dbfe3c66e5fa1d8c3_val_1	0.0	0.0
CN_16_RG_2030_BL_ADL_M__SRR17643123__R2__0c986039fd6929a88f2e05cfa6c2704d_val_2	0.13286831999300855	0.0
CN_16_RG_2030_BL_ADL_M__SRR17643124__R1__8588b733582e46a2271e463250c015ce_val_1	0.10241232225061318	0.0
CN_16_RG_2030_BL_ADL_M__SRR17643124__R2__bf726db77a1c636b77de4d92f4b3af37_val_2	0.13386231039481936	0.0
CN_16_RG_2031_BL_ADL_F__SRR17643122__R1__dbf00865c5ad84939425de73519ba521_val_1	0.17029258391380384	0.1242936600321364
CN_16_RG_2031_BL_ADL_F__SRR17643122__R2__0564a15b87a0f4f7ab178f55d1f918d7_val_2	0.24211896089130924	0.0
CN_16_RG_2033_BL_ADL_M__SRR17643119__R1__81160a9c4913df093c3dfcf887b72706_val_1	0.0	0.0
CN_16_RG_2033_BL_ADL_M__SRR17643119__R2__4e2c290632c297940435929f041ecc72_val_2	0.11728272103058729	0.0
CN_16_RG_2033_BL_ADL_M__SRR17643120__R1__f5908ae7ad441619d5818b8704570971_val_1	0.0	0.0
CN_16_RG_2033_BL_ADL_M__SRR17643120__R2__72fd4c71767ce93374287f8732c3283d_val_2	0.11586782029589457	0.0
CN_16_RG_2044_BL_ADL_F__SRR17643117__R1__018d0d4074b80258bce4ee7dba7196ac_val_1	0.16578374551790712	0.10397150869388119
CN_16_RG_2044_BL_ADL_F__SRR17643117__R2__b35987223db093c04fbf4bfb2db1614f_val_2	0.19746804810124208	0.0
CN_16_RG_2044_BL_ADL_F__SRR17643118__R1__9d60dd8a723ce0fc501c7ccfed55bb99_val_1	0.1688570638489863	0.10327613558631327
CN_16_RG_2044_BL_ADL_F__SRR17643118__R2__2df36e428d7ef7b0ee20a2ace1ab91f1_val_2	0.20090526714113144	0.0
CN_16_RG_2050_BL_ADL_M__SRR17777320__R1__6cce2c1fa487d06beb473209ee6867a3_val_1	0.18488278665506153	0.38460016474807857
CN_16_RG_2050_BL_ADL_M__SRR17777320__R2__7abe17ac4593645588fb0620ce44463e_val_2	0.18590553232765256	0.6940141850045602
CN_16_RG_2050_BL_ADL_M__SRR17777321__R1__ac5b2cd742ab4a5b425c3fbe153f8ec3_val_1	0.17162122943859434	0.6012117390354099
CN_16_RG_2050_BL_ADL_M__SRR17777321__R2__efddf105a248bc363b2cc4ef191f8725_val_2	0.19705986678753007	0.7549184351296834
CN_16_RG_2050_BL_ADL_M__SRR17777322__R1__e468dd52640a659d9f4c1ce39666c7cc_val_1	0.19074807928548873	0.5247245409116602
CN_16_RG_2050_BL_ADL_M__SRR17777322__R2__295f5fdfcfad72d9ded2c0d9243e37ae_val_2	0.18460276636432946	0.7099357540998668
CN_16_RG_2054_BL_ADL_F__SRR17643115__R1__40ca6761181378874655bb4ffc67de56_val_1	0.14137182358177605	0.31324665251228956
CN_16_RG_2054_BL_ADL_F__SRR17643115__R2__7e9b718625b3f517b91aaa02cb82c4fa_val_2	0.15118858026432921	0.11186365309255733
CN_16_RG_2054_BL_ADL_F__SRR17643116__R1__493531dcfdd77195c1286a4c2c426c7b_val_1	0.1427040838284561	0.31720512919249877
CN_16_RG_2054_BL_ADL_F__SRR17643116__R2__231489260b566495e241bd72ebb45e4e_val_2	0.15318037569681497	0.11427652427215251
CN_16_RG_2058_BL_ADL_F__SRR17643113__R1__10e93fb99f8726b5bd21cd78029e491f_val_1	0.11040401451190894	0.0
CN_16_RG_2058_BL_ADL_F__SRR17643113__R2__7c261ea80802c9e1024b59b3c3f228fa_val_2	0.1447835968549639	0.0
CN_16_RG_2058_BL_ADL_F__SRR17643114__R1__c2dc561a0c87f26d5b53620b0460ca7f_val_1	0.11308655165824082	0.10222850541165025
CN_16_RG_2058_BL_ADL_F__SRR17643114__R2__43a107cfc317232fae92ffef2cbe4e82_val_2	0.14666505967582216	0.0
CN_16_RG_2059_BL_ADL_M__SRR17643111__R1__afd1352d1f92ff67c54ef554e1157ff7_val_1	0.11022119658647149	0.10891565453890036
CN_16_RG_2059_BL_ADL_M__SRR17643111__R2__503c2ab5fe5a41357d7e8b0b123daf8c_val_2	0.10625601722711285	0.10333203462470143
CN_16_RG_2059_BL_ADL_M__SRR17643112__R1__c77da0ecdef2a14add742e2a2dd03a39_val_1	0.11320774877389436	0.1036446590945517
CN_16_RG_2059_BL_ADL_M__SRR17643112__R2__33ecb327db6f2c66c76812117f23c4fe_val_2	0.10973511844340682	0.10158779343726294
CN_16_RG_2063_BL_ADL_F__SRR17643108__R1__a536a1f093a7860d881e2b323ea5b135_val_1	0.10731947974341723	0.0
CN_16_RG_2063_BL_ADL_F__SRR17643108__R2__55f3caf8c2b668bb64f48a1ad5c22fcb_val_2	0.11292091217344315	0.0
CN_16_RG_2063_BL_ADL_F__SRR17643109__R1__17c45d609f814a7eb1b2a053ee8397ff_val_1	0.10394844969521436	0.0
CN_16_RG_2063_BL_ADL_F__SRR17643109__R2__5901516a456643396b0e35467b47a420_val_2	0.11356452777776836	0.0
CN_16_RG_2066_BL_ADL_M__SRR17643107__R1__eb787feee7a53f56ad5cfc5ec2bfd413_val_1	0.1341890813101018	0.0
CN_16_RG_2066_BL_ADL_M__SRR17643107__R2__090965b406cc4d3bc377baa7cb46e1c6_val_2	0.17689544191818907	0.0
CN_16_RG_2068_BL_ADL_F__SRR17643105__R1__d203dba49667f97977b64705812d4f42_val_1	0.11711582093222224	0.0
CN_16_RG_2068_BL_ADL_F__SRR17643105__R2__8ec12c5147b4e6b3fbfc0b62fe0c86d9_val_2	0.16391085347735657	0.0
CN_16_RG_2068_BL_ADL_F__SRR17643106__R1__73449abaa1ad16a82e2aba4caac1eafc_val_1	0.11952327009559953	0.0
CN_16_RG_2068_BL_ADL_F__SRR17643106__R2__1be34d7f493abd80154ac4f786c09d40_val_2	0.1672344294631404	0.0
CN_16_RG_2069_BL_ADL_M__SRR17643104__R1__0f4bf439679adeab09b193197e7c8310_val_1	0.2716738749919385	0.26233088750755207
CN_16_RG_2069_BL_ADL_M__SRR17643104__R2__792fd53a1aebedf377f6a5384a729d49_val_2	0.34798335655360324	0.2398824662274991
CN_16_RG_2070_BL_ADL_F__SRR17643102__R1__55b872714a635817e964db30c2e8c21c_val_1	0.14450663153764115	0.1056899924014505
CN_16_RG_2070_BL_ADL_F__SRR17643102__R2__594921f086a06a6d0e83ff4b30baf02b_val_2	0.18150774916873288	0.10583306338962403
CN_16_RG_2070_BL_ADL_F__SRR17643103__R1__38d2c886c50c07566937d334428ec61f_val_1	0.14048351308259624	0.10182567775557969
CN_16_RG_2070_BL_ADL_F__SRR17643103__R2__6df604134bcb52affd4c09794b7eb4ae_val_2	0.19030486911877267	0.11417739497586302
CN_16_RG_2072_BL_ADL_M__SRR17643100__R1__22e9f3bacfc0f453658f23f0b2c2d824_val_1	0.14689412056632514	0.2184667454556344
CN_16_RG_2072_BL_ADL_M__SRR17643100__R2__1bc01611deebc22adfe8e573e00d9b3c_val_2	0.13862419962908984	0.0
CN_16_RG_2072_BL_ADL_M__SRR17643101__R1__131ecfc11dae172e30354139d73fc55e_val_1	0.15524387655109861	0.11487832439537443
CN_16_RG_2072_BL_ADL_M__SRR17643101__R2__aca4791e8f0e709fecf04f27efa04267_val_2	0.13940321166130248	0.0
CN_16_RG_2074_BL_ADL_M__SRR17643097__R1__56db441924427b03e45a3f4f3ecc322e_val_1	0.12115976809759729	0.0
CN_16_RG_2074_BL_ADL_M__SRR17643097__R2__bf2d1c2f43803df3d8f956be4b06b1ae_val_2	0.1153978768802743	0.0
CN_16_RG_2074_BL_ADL_M__SRR17643163__R1__c7d82dcdc159b4bf3d3db18ca58dd41d_val_1	0.11838628720161588	0.0
CN_16_RG_2074_BL_ADL_M__SRR17643163__R2__7ca3a5fdd2f04f654e9fa89507d14a2d_val_2	0.11250873554960845	0.0
CN_17_RG_1705_BL_ADL_M__SRR17643019__R1__7c8a9557482918777b20c944a452286d_val_1	0.1483743714191075	0.0
CN_17_RG_1705_BL_ADL_M__SRR17643019__R2__96189599530e6c3d245613e814e659b2_val_2	0.17589892796808865	0.0
CN_17_RG_1705_BL_ADL_M__SRR17643020__R1__c4c3220798e15344d6fe5cad0bb0b29e_val_1	0.14974988508423126	0.10027737563589356
CN_17_RG_1705_BL_ADL_M__SRR17643020__R2__6a96d1baa7a817c4ba99cb2e1d7afdfe_val_2	0.17355699629289267	0.0
CN_17_RG_2077_BL_ADL_M__SRR17643161__R1__ac44305fd431da10568b18f10f42411a_val_1	0.1265470310987135	0.10708803626549696
CN_17_RG_2077_BL_ADL_M__SRR17643161__R2__d6558bdabeae2450db8ec7eb9bbeb84c_val_2	0.16231549325578715	0.10170759343700803
CN_17_RG_2077_BL_ADL_M__SRR17643162__R1__ec4b689cbe3964172767da5940443c34_val_1	0.12364675942113074	0.10351255302819545
CN_17_RG_2077_BL_ADL_M__SRR17643162__R2__7dd3d73234d1a85a8dd91310e7b985c5_val_2	0.16394223431236812	0.10164526775788293
CN_17_RG_2079_BL_ADL_F__SRR17643160__R1__8709fd6d07af18d59c4849d38f090ec9_val_1	0.0	0.0
CN_17_RG_2079_BL_ADL_F__SRR17643160__R2__31876e889a28386d4ec5f6082f54fa4c_val_2	0.10670793657288397	0.10026028516115382
CN_17_RG_2081_BL_ADL_F__SRR17643158__R1__be1f50da4fe841267816476a49666641_val_1	0.13599151924533923	0.10089329311645914
CN_17_RG_2081_BL_ADL_F__SRR17643158__R2__b7f527a62c4967a6856d9317c80e25b3_val_2	0.18072012682008567	0.0
CN_17_RG_2081_BL_ADL_F__SRR17643159__R1__8cdbffccf62924da751171aa968299c0_val_1	0.1400007274159914	0.10409371656602046
CN_17_RG_2081_BL_ADL_F__SRR17643159__R2__6dd52688ee84c368902ca431f0dae4d2_val_2	0.17842684330995756	0.0
