Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RU_13_RT_VN96037_BL_ADL_M__SRR17643213__R2__a61aecce7c342f0c052db6cd24e6b680_val_2	RU_13_RT_VN96037_BL_ADL_M__SRR17643213__R2__a61aecce7c342f0c052db6cd24e6b680_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17564415.0	0.0	20-148	33.0	24.756858858893256	119.33450416652077	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
RU_13_RT_VN96053_BL_ADL_F__SRR17643210__R1__982415218d09499db1f15000d74ebd64_val_1	RU_13_RT_VN96053_BL_ADL_F__SRR17643210__R1__982415218d09499db1f15000d74ebd64_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3163396.0	0.0	20-150	33.0	49.18327035702825	122.31971590025402	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96053_BL_ADL_F__SRR17643210__R2__270d57f954abe9677bec974835e4ebfe_val_2	RU_13_RT_VN96053_BL_ADL_F__SRR17643210__R2__270d57f954abe9677bec974835e4ebfe_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3163396.0	0.0	20-148	33.0	41.95220062536012	119.93072539764228	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96053_BL_ADL_F__SRR17643211__R1__55e85e996824566786aac3263d077f26_val_1	RU_13_RT_VN96053_BL_ADL_F__SRR17643211__R1__55e85e996824566786aac3263d077f26_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24455053.0	0.0	20-150	33.0	26.3475605597548	122.18662515268316	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96053_BL_ADL_F__SRR17643211__R2__bd78f02ea0d10f94abebb0fb64ceaa4a_val_2	RU_13_RT_VN96053_BL_ADL_F__SRR17643211__R2__bd78f02ea0d10f94abebb0fb64ceaa4a_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24455053.0	0.0	20-148	33.0	23.221424766888056	120.20840686789761	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96054_BL_ADL_F__SRR17643209__R1__a2d6746af03096218630b8f706e10a46_val_1	RU_13_RT_VN96054_BL_ADL_F__SRR17643209__R1__a2d6746af03096218630b8f706e10a46_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21033096.0	0.0	20-150	33.0	28.003374762020027	118.83522340220384	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96054_BL_ADL_F__SRR17643209__R2__f463e422de2cb1a652f98f7582d6ebc2_val_2	RU_13_RT_VN96054_BL_ADL_F__SRR17643209__R2__f463e422de2cb1a652f98f7582d6ebc2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21033096.0	0.0	20-148	34.0	23.697087978542314	118.17444645334191	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96055_BL_ADL_F__SRR17643208__R1__38ddf0b3c58ca5ebcdf406820234a48b_val_1	RU_13_RT_VN96055_BL_ADL_F__SRR17643208__R1__38ddf0b3c58ca5ebcdf406820234a48b_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21847036.0	0.0	20-150	34.0	29.743945014428736	119.01371755875716	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96055_BL_ADL_F__SRR17643208__R2__e4b7ccb9349e105da7e80f40c18f8930_val_2	RU_13_RT_VN96055_BL_ADL_F__SRR17643208__R2__e4b7ccb9349e105da7e80f40c18f8930_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21847036.0	0.0	20-148	34.0	24.031634255975018	117.51065851678919	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96056_BL_ADL_M__SRR17643207__R1__e64d30f188bbaa6ed94ed073adb9996b_val_1	RU_13_RT_VN96056_BL_ADL_M__SRR17643207__R1__e64d30f188bbaa6ed94ed073adb9996b_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24287064.0	0.0	20-150	33.0	27.13991626859551	119.7417409943005	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96056_BL_ADL_M__SRR17643207__R2__e2577d60b7db19871304094ae1e61c7d_val_2	RU_13_RT_VN96056_BL_ADL_M__SRR17643207__R2__e2577d60b7db19871304094ae1e61c7d_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24287064.0	0.0	20-148	34.0	22.860512958606762	118.6094094370567	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96076_BL_ADL_F__SRR17643205__R1__d315ff6339b2bfd6f156974efae11948_val_1	RU_13_RT_VN96076_BL_ADL_F__SRR17643205__R1__d315ff6339b2bfd6f156974efae11948_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3127641.0	0.0	20-150	33.0	49.19645808039773	122.59241325970596	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96076_BL_ADL_F__SRR17643205__R2__1d126fc9f05190ac67514a789cd2fddc_val_2	RU_13_RT_VN96076_BL_ADL_F__SRR17643205__R2__1d126fc9f05190ac67514a789cd2fddc_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3127641.0	0.0	20-148	33.0	42.010579359030245	120.32899619873253	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96076_BL_ADL_F__SRR17643206__R1__0be116acce09590781dcee0531b772aa_val_1	RU_13_RT_VN96076_BL_ADL_F__SRR17643206__R1__0be116acce09590781dcee0531b772aa_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18345407.0	0.0	20-150	33.0	28.808309135845082	122.30604254241948	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96076_BL_ADL_F__SRR17643206__R2__378a629f6e8bda22e9f447a8ae30fda7_val_2	RU_13_RT_VN96076_BL_ADL_F__SRR17643206__R2__378a629f6e8bda22e9f447a8ae30fda7_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18345407.0	0.0	20-148	33.0	24.809460142585788	120.36412541842218	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96078_BL_ADL_F__SRR17643202__R1__f4cee02242983f5121a4b04dbe63c48c_val_1	RU_13_RT_VN96078_BL_ADL_F__SRR17643202__R1__f4cee02242983f5121a4b04dbe63c48c_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4009864.0	0.0	20-150	33.0	47.7666328031923	120.78229535964311	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96078_BL_ADL_F__SRR17643202__R2__dce93bcfbb2628d48d4819d30ee22a4c_val_2	RU_13_RT_VN96078_BL_ADL_F__SRR17643202__R2__dce93bcfbb2628d48d4819d30ee22a4c_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4009864.0	0.0	20-148	33.0	38.81642971758539	118.71217153499471	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96078_BL_ADL_F__SRR17643204__R1__5b6cc0a6fc569eb9a2d0138073682293_val_1	RU_13_RT_VN96078_BL_ADL_F__SRR17643204__R1__5b6cc0a6fc569eb9a2d0138073682293_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20186957.0	0.0	20-150	33.0	28.358252722920053	120.8051691000283	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96078_BL_ADL_F__SRR17643204__R2__d65612569c73b4e59dd91bc9ef0923b1_val_2	RU_13_RT_VN96078_BL_ADL_F__SRR17643204__R2__d65612569c73b4e59dd91bc9ef0923b1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20186957.0	0.0	20-148	33.0	24.341814947523957	118.93783515762182	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
