Sample	Unique Reads	Duplicate Reads
CN_16_RG_2023_BL_ADL_M__SRR17643044__R1__699d3c295b0eb76921ba61523ead2f14_val_1	5632513.0	15948683.0
CN_16_RG_2023_BL_ADL_M__SRR17643044__R2__8523f23d50253e57f0521da4a0cf05bd_val_2	4931811.0	16649385.0
CN_16_RG_2023_BL_ADL_M__SRR17643045__R1__f01d3e3480bc91c04c7318057be4b926_val_1	1678684.0	2009764.0
CN_16_RG_2023_BL_ADL_M__SRR17643045__R2__6da278535e94968e168024ce6cc4f81a_val_2	1429407.0	2259041.0
CN_16_RG_2027_BL_ADL_M__SRR17643042__R1__446eb7935d68ad7a2bec215c1af40c15_val_1	1412167.0	1481299.0
CN_16_RG_2027_BL_ADL_M__SRR17643042__R2__01046709dd866dc87a8b371a80eda810_val_2	1198759.0	1694707.0
CN_16_RG_2027_BL_ADL_M__SRR17643043__R1__c299cfe386524cbcfa621402e2dbd9a2_val_1	5461732.0	15247282.0
CN_16_RG_2027_BL_ADL_M__SRR17643043__R2__ca5e537a7b7d24d0a01bdbbb0270b9fd_val_2	4793069.0	15915945.0
CN_16_RG_2029_BL_ADL_F__SRR17643040__R1__5b04e8c79c2c718520335b70fa2071d5_val_1	5901885.0	16595549.0
CN_16_RG_2029_BL_ADL_F__SRR17643040__R2__e6575d1f85390791d9489a9bee3cf71e_val_2	5183155.0	17314279.0
CN_16_RG_2029_BL_ADL_F__SRR17643125__R1__3373616e7cdb5c0fc20acb0f6cdc2648_val_1	1485656.0	1478127.0
CN_16_RG_2029_BL_ADL_F__SRR17643125__R2__e50d5353df919a00284488f054b182d4_val_2	1266668.0	1697115.0
CN_16_RG_2030_BL_ADL_M__SRR17643123__R1__1d93cf920e9e243dbfe3c66e5fa1d8c3_val_1	1325329.0	1260690.0
CN_16_RG_2030_BL_ADL_M__SRR17643123__R2__0c986039fd6929a88f2e05cfa6c2704d_val_2	1145412.0	1440607.0
CN_16_RG_2030_BL_ADL_M__SRR17643124__R1__8588b733582e46a2271e463250c015ce_val_1	5263148.0	13875174.0
CN_16_RG_2030_BL_ADL_M__SRR17643124__R2__bf726db77a1c636b77de4d92f4b3af37_val_2	4607169.0	14531153.0
CN_16_RG_2031_BL_ADL_F__SRR17643122__R1__dbf00865c5ad84939425de73519ba521_val_1	5936722.0	13635475.0
CN_16_RG_2031_BL_ADL_F__SRR17643122__R2__0564a15b87a0f4f7ab178f55d1f918d7_val_2	4786717.0	14785480.0
CN_16_RG_2033_BL_ADL_M__SRR17643119__R1__81160a9c4913df093c3dfcf887b72706_val_1	1660281.0	1698270.0
CN_16_RG_2033_BL_ADL_M__SRR17643119__R2__4e2c290632c297940435929f041ecc72_val_2	1387293.0	1971258.0
CN_16_RG_2033_BL_ADL_M__SRR17643120__R1__f5908ae7ad441619d5818b8704570971_val_1	4744321.0	11496599.0
CN_16_RG_2033_BL_ADL_M__SRR17643120__R2__72fd4c71767ce93374287f8732c3283d_val_2	4142379.0	12098541.0
CN_16_RG_2044_BL_ADL_F__SRR17643117__R1__018d0d4074b80258bce4ee7dba7196ac_val_1	4712813.0	8394624.0
CN_16_RG_2044_BL_ADL_F__SRR17643117__R2__b35987223db093c04fbf4bfb2db1614f_val_2	3646828.0	9460609.0
CN_16_RG_2044_BL_ADL_F__SRR17643118__R1__9d60dd8a723ce0fc501c7ccfed55bb99_val_1	1660257.0	1775193.0
CN_16_RG_2044_BL_ADL_F__SRR17643118__R2__2df36e428d7ef7b0ee20a2ace1ab91f1_val_2	1428386.0	2007064.0
CN_16_RG_2050_BL_ADL_M__SRR17777320__R1__6cce2c1fa487d06beb473209ee6867a3_val_1	6760337.0	14163731.0
CN_16_RG_2050_BL_ADL_M__SRR17777320__R2__7abe17ac4593645588fb0620ce44463e_val_2	5107338.0	15816730.0
CN_16_RG_2050_BL_ADL_M__SRR17777321__R1__ac5b2cd742ab4a5b425c3fbe153f8ec3_val_1	209666.0	69437.0
CN_16_RG_2050_BL_ADL_M__SRR17777321__R2__efddf105a248bc363b2cc4ef191f8725_val_2	198606.0	80497.0
CN_16_RG_2050_BL_ADL_M__SRR17777322__R1__e468dd52640a659d9f4c1ce39666c7cc_val_1	912257.0	731272.0
CN_16_RG_2050_BL_ADL_M__SRR17777322__R2__295f5fdfcfad72d9ded2c0d9243e37ae_val_2	830274.0	813255.0
CN_16_RG_2054_BL_ADL_F__SRR17643115__R1__40ca6761181378874655bb4ffc67de56_val_1	5161027.0	13837101.0
CN_16_RG_2054_BL_ADL_F__SRR17643115__R2__7e9b718625b3f517b91aaa02cb82c4fa_val_2	4528972.0	14469156.0
CN_16_RG_2054_BL_ADL_F__SRR17643116__R1__493531dcfdd77195c1286a4c2c426c7b_val_1	1616958.0	1914826.0
CN_16_RG_2054_BL_ADL_F__SRR17643116__R2__231489260b566495e241bd72ebb45e4e_val_2	1389169.0	2142615.0
CN_16_RG_2058_BL_ADL_F__SRR17643113__R1__10e93fb99f8726b5bd21cd78029e491f_val_1	5102346.0	12722187.0
CN_16_RG_2058_BL_ADL_F__SRR17643113__R2__7c261ea80802c9e1024b59b3c3f228fa_val_2	4415081.0	13409452.0
CN_16_RG_2058_BL_ADL_F__SRR17643114__R1__c2dc561a0c87f26d5b53620b0460ca7f_val_1	1725273.0	1958631.0
CN_16_RG_2058_BL_ADL_F__SRR17643114__R2__43a107cfc317232fae92ffef2cbe4e82_val_2	1468806.0	2215098.0
CN_16_RG_2059_BL_ADL_M__SRR17643111__R1__afd1352d1f92ff67c54ef554e1157ff7_val_1	5276242.0	13260120.0
CN_16_RG_2059_BL_ADL_M__SRR17643111__R2__503c2ab5fe5a41357d7e8b0b123daf8c_val_2	4651247.0	13885115.0
CN_16_RG_2059_BL_ADL_M__SRR17643112__R1__c77da0ecdef2a14add742e2a2dd03a39_val_1	1742626.0	2000934.0
CN_16_RG_2059_BL_ADL_M__SRR17643112__R2__33ecb327db6f2c66c76812117f23c4fe_val_2	1491247.0	2252313.0
CN_16_RG_2063_BL_ADL_F__SRR17643108__R1__a536a1f093a7860d881e2b323ea5b135_val_1	4694065.0	11444664.0
CN_16_RG_2063_BL_ADL_F__SRR17643108__R2__55f3caf8c2b668bb64f48a1ad5c22fcb_val_2	4183381.0	11955348.0
CN_16_RG_2063_BL_ADL_F__SRR17643109__R1__17c45d609f814a7eb1b2a053ee8397ff_val_1	1444513.0	1508874.0
CN_16_RG_2063_BL_ADL_F__SRR17643109__R2__5901516a456643396b0e35467b47a420_val_2	1269893.0	1683494.0
CN_16_RG_2066_BL_ADL_M__SRR17643107__R1__eb787feee7a53f56ad5cfc5ec2bfd413_val_1	7089001.0	18331100.0
CN_16_RG_2066_BL_ADL_M__SRR17643107__R2__090965b406cc4d3bc377baa7cb46e1c6_val_2	5605794.0	19814307.0
CN_16_RG_2068_BL_ADL_F__SRR17643105__R1__d203dba49667f97977b64705812d4f42_val_1	6504010.0	17669496.0
CN_16_RG_2068_BL_ADL_F__SRR17643105__R2__8ec12c5147b4e6b3fbfc0b62fe0c86d9_val_2	5758891.0	18414615.0
CN_16_RG_2068_BL_ADL_F__SRR17643106__R1__73449abaa1ad16a82e2aba4caac1eafc_val_1	1750611.0	1917294.0
CN_16_RG_2068_BL_ADL_F__SRR17643106__R2__1be34d7f493abd80154ac4f786c09d40_val_2	1503372.0	2164533.0
CN_16_RG_2069_BL_ADL_M__SRR17643104__R1__0f4bf439679adeab09b193197e7c8310_val_1	5952815.0	13848132.0
CN_16_RG_2069_BL_ADL_M__SRR17643104__R2__792fd53a1aebedf377f6a5384a729d49_val_2	4816613.0	14984334.0
CN_16_RG_2070_BL_ADL_F__SRR17643102__R1__55b872714a635817e964db30c2e8c21c_val_1	5612487.0	14657171.0
CN_16_RG_2070_BL_ADL_F__SRR17643102__R2__594921f086a06a6d0e83ff4b30baf02b_val_2	4891899.0	15377759.0
CN_16_RG_2070_BL_ADL_F__SRR17643103__R1__38d2c886c50c07566937d334428ec61f_val_1	1696351.0	1922579.0
CN_16_RG_2070_BL_ADL_F__SRR17643103__R2__6df604134bcb52affd4c09794b7eb4ae_val_2	1452332.0	2166598.0
